metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
13820,1,3,2,2,4,14.396,3.57,0,4,3,21,1,3,1500,223.3,46,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,2,20.757,10.45,0,2,1,0,1,3,1500,211.3,60,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,2,25.221,8.64,0,4,4,21,1,3,3000,203.2,23,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,3,31.804,10.15,0,3,2,0,1,3,300,211.3,27,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,2,2,10,71.532,1.93,0,3,4,5,1,6,300,205.2,32,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,6,44.715,19.76,0,3,4,5,1,6,300,205.2,29,2,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,3,5,55.31,14.86,0,1,1,0,1,3,1500,208.8,54,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,3,3,1,2,2,3.258,1.84,0,3,2,0,1,6,750,224.3,76,1,3,4,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,11,73.261,17.98,0,4,5,15,1,3,300,215.3,42,2,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,1,5,8.306,3.85,0,1,5,5,2,3,3000,202.1,38,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,5,52.466,23.82,0,4,4,15,1,3,750,207.9,41,1,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,11,19.433,1.28,0,4,4,5,1,3,300,215.2,41,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,7,60.164,8.69,0,4,4,5,1,3,300,215.2,39,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,3,2,46.911,23.7,0,1,2,0,1,3,300,207.6,62,2,2,4,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,5,8.726,3.5,0,3,3,0,1,3,1500,224.3,46,1,2,4,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,3,18.055,4.3,0,3,2,15,1,6,300,207.9,27,2,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,1,3,2,19.46,9.9,2,4,2,0,1,3,3000,208.8,46,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,6,33.528,11.31,0,4,4,15,1,3,3000,212.7,50,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,2,1.5,21.48,0,4,4,15,1,3,750,207.9,41,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,8,65.174,5.13,0,3,4,5,2,3,750,211.8,33,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,7,56.999,11.5,0,4,4,15,1,3,3000,212.7,48,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,0,3,1,2,4,7.942,3.88,3,1,2,0,2,3,3000,218.8,58,1,1,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,14,37.474,3.57,0,4,3,21,1,3,1500,211.3,53,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,6,35.448,2.47,0,3,5,21,1,6,300,230.3,49,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,2,2,6,35.448,9.07,0,3,5,21,1,6,300,230.3,20,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,5,40.884,13.96,0,3,2,0,1,3,7000,223.6,46,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,6,22.67,8.44,0,1,4,15,2,3,3000,218.8,27,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,1,2,2,41.805,21.11,0,3,5,5,1,3,300,212,50,1,1,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,5,34.947,15.29,0,4,2,0,1,3,750,215.2,27,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,7,24.344,8.27,0,4,5,15,1,3,300,215.3,44,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,3,2,3,23.14,10.57,0,1,4,15,2,3,3000,218.8,53,2,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,0,0,7.14,0,3,3,21,1,3,750,,29,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,3,2,43.594,21.91,0,3,4,15,1,3,750,212.7,37,1,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,4,199.127,31.1,0,4,3,0,1,6,750,208.7,61,1,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,4,16.84,15.66,0,1,3,15,1,6,300,203.8,37,1,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,0,3,2,2,2,7.581,3.99,0,3,5,21,1,6,300,230.3,20,1,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,4,16.84,15.66,0,1,3,15,1,6,300,203.8,35,2,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,2,42.392,21.31,0,3,5,5,1,3,300,212,32,1,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,4,1,2,2,28.803,8.92,20,1,1,0,2,3,7000,205.4,31,2,2,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,9,55.976,8.97,0,4,2,0,1,3,750,215.2,28,2,5,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,2,2,3,49.965,27.36,0,3,1,0,1,6,50,218.1,44,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,3,6,58.847,28.39,0,3,4,15,1,3,750,212.7,36,2,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,3,3,1,3,3,45.641,437.94,0,4,3,0,1,6,1500,223.6,67,1,3,4,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,1,3,1,2,2,9.995,5.03,0,4,3,0,1,6,750,208.7,60,2,3,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
13820,2,3,3,3,5,33.489,10.7,0,4,1,0,1,3,300,218.1,53,1,4,11,AL,11.80516705,8.062621492,0.5,0.085285232,0.085027855,0.153479002,0.55495883
